Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	set
Regulation Of Neuron Apoptotic Process (GO:0043523)	18/105	0.000526964012413911	0.178832423485557	0	0	2.66354061462992	20.1054121750278	TFAP2A;EGR1;WFS1;VSTM2L;NGF;MT3;BACE1;CLN3;UBB;GDNF;ERBB3;BCL2;NF1;CCL2;ATP13A2;NUPR1;RETREG1;ATF4	cl0_only
Positive Regulation Of Cell Motility (GO:2000147)	30/221	0.000678250862371034	0.210992539102589	0	0	2.02763602624428	14.7936189332055	LRRC15;CD151;CCDC25;FLT4;TRADD;SEMA3B;SEMA3G;PDGFA;PIK3CD;EGFR;FAM83H;CCL7;ACVR1;PDGFRB;SEMA6B;SPAG9;WNT5B;SPHK1;PRKCA;LAMB1;IGF1;RHOC;VEGFA;COL1A1;TIAM1;SH3RF2;MMP14;MYO1C;APC;PHPT1	cl0_only
Positive Regulation Of DNA-templated Transcription (GO:0045893)	120/1243	0.000735048471374373	0.211071995664656	0	0	1.39788051631329	10.0865104672451	CSF3;CRTC3;FHOD1;CCNC;NUCKS1;TBK1;ZMIZ1;MEF2A;ACVR1;LMO1;PCID2;MRTFA;LMO7;POU3F1;RUNX3;RUNX2;HCFC1;RUNX1;ATF4;CASZ1;NOTCH4;GATA6;PIK3R1;MRPL12;HIF1A;MED12L;GLIS2;SBNO2;DEAF1;E4F1;CAMTA2;ALX1;WNT1;MAP2K5;ZBED3;TFAP2A;EGR1;JUN;EGR2;JUP;MICAL2;NFATC1;IGF1;MT3;ESR1;COL1A1;GDNF;LHX2;AGO1;RFXAP;UBA2;HOXD3;ARF4;CSRNP1;DDX3X;ELL;AKAP8L;WASL;PKD2;LITAF;MYDGF;EDRF1;HYAL2;NCK2;UBTF;MYBL2;ACTR2;ATMIN;ACTR6;TCF12;MSL3;PAX3;TET1;ETV1;TNFRSF1A;KAT2B;ZEB2;ELF2;TET3;RARA;TLR9;IRF6;FOXC2;RNASEL;FOXC1;CEBPB;NFIX;CEBPG;MOSPD1;FOXK1;NR2C2;ASCL2;EGFR;CAND2;NSD3;RXRA;ERBB4;HAS3;SPP1;E2F2;E2F7;ARNT2;NPM1;DAB2IP;FOXJ2;NR1H3;RRP1B;USF2;MEIS2;APLN;VEGFA;MEIS1;KLF5;TAF5;CAMK1;TAF3;LPIN2;SSBP3;LPIN3;SSBP4	cl0_only
Skeletal System Development (GO:0001501)	22/149	0.00112239221854194	0.299277867986932	0	0	2.23149606299213	15.156975003558	GDF11;PKDCC;LECT2;CHRD;IGF1;HOXA13;PTHLH;COMP;COL1A1;MMP14;MMP16;DEAF1;FRZB;HYAL2;GNAS;ITGB8;RPL13;HOXD3;NOTUM;SOX6;WNT1;MATN3	cl0_only
Macroautophagy (GO:0016236)	17/104	0.00128814372995115	0.304014128624252	0	0	2.51381312827907	16.728302860012	GABARAPL1;SRC;VPS33A;VPS37D;KLHL3;SNF8;TCIRG1;WIPI2;VAMP8;CLN3;PIP4K2A;PGAM5;ATP13A2;VPS25;ATG7;VPS28;VTI1B	cl0_only
Regulation Of Cell Migration (GO:0030334)	49/434	0.0013950004669592	0.304014128624252	0	0	1.64765113717359	10.833076427317	FLT4;TRADD;ZMYND8;PTEN;PIK3CD;LDLRAD4;FGF9;DPYSL3;SEMA6B;ACVR1;PDGFRB;DUSP3;WNT5B;SPHK1;TET1;PRKCA;RHOC;SAP30;RAP2C;TIAM1;MMP14;LRRC15;CD151;SRC;SEMA3B;CHRD;SEMA3G;PDGFA;EGFR;FAM83H;CLN3;CCL7;ERBB4;FYN;RFFL;SPAG9;RCC2;LAMB1;IGF1;VEGFA;COL1A1;SH3RF2;MYO1C;APC;DLG5;FGF18;NF1;EPPK1;RECK	cl0_only
Regulation Of Actin Filament-Based Process (GO:0032970)	13/70	0.00142293265000937	0.304014128624252	0	0	2.93067798056643	19.210697587919	PDGFRB;PRKCD;HIP1R;ARHGAP18;PDGFA;CORO2B;ARHGAP44;SH3BP1;FSCN1;CDK10;RICTOR;PAK3;ARHGEF5	cl0_only
Positive Regulation Of Protein Kinase C Signaling (GO:0090037)	4/8	0.00152723750841584	0.304014128624252	0	0	12.8066298342541	83.0419622870041	SPHK2;FLT4;ADRA1D;VEGFA	cl0_only
Neuron Projection Development (GO:0031175)	26/192	0.00154735291825899	0.304014128624252	0	0	2.01901012183376	13.0654376882912	TRIO;PTEN;PTPRM;WASL;FRY;CAMSAP2;PPP1R9B;SAMD14;OPHN1;UBB;STMN1;MICALL1;DIP2A;MAP4;PAK3;SLC25A46;DAB2IP;DTNBP1;LAMB1;NGF;MAPK8IP3;RAB11A;GDNF;CTTN;TBC1D24;GAS7	cl0_only
Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050730)	15/90	0.00198901894119139	0.354229724602992	0	0	2.57105080027836	15.9922284506583	ACVR1;ANGPT4;CSF3;ANGPT1;SRC;TNK2;PRKCD;PDGFA;IGF1;EGFR;VEGFA;GHR;RAP2C;FYN;FGF10	cl0_only
Neuron Projection Morphogenesis (GO:0048812)	21/146	0.0020021089485872	0.354229724602992	0	0	2.1628679245283	13.4390970325834	MEF2A;FARP1;TRIO;PTEN;DAB2IP;DTNBP1;LRP4;IQGAP1;WASL;SLC39A12;NGF;ZDHHC17;IMPACT;UBB;CTTN;MAP1A;TRIM46;DIP2A;NRCAM;PAK3;GAS7	cl0_only
Regulation Of Actin Cytoskeleton Organization (GO:0032956)	15/91	0.00222515673406756	0.354229724602992	0	0	2.537083836941	15.4963252120832	PDGFRB;CSF3;PRKCD;HIP1R;ARHGAP18;PDGFA;CORO2B;ARHGAP44;SH3BP1;FSCN1;ABL2;CDK10;RICTOR;PAK3;ARHGEF5	cl0_only
Receptor Metabolic Process (GO:0043112)	6/20	0.00231417527232546	0.354229724602992	0	0	5.49318316538234	33.3364911609928	SH3GLB1;SMURF1;NSG1;PHETA1;RAB11B;PLEKHJ1	cl0_only
Regulation Of Protein-Containing Complex Assembly (GO:0043254)	18/119	0.00231959044202655	0.354229724602992	0	0	2.29259704213099	13.9077296358768	SH3GLB1;HSPA8;DDX3X;GSN;SRC;VPS33A;STXBP1;MMP3;DAB2IP;TFIP11;RHOC;SEPTIN9;HCFC1;VEGFA;LGALS3;BCL2L11;BMF;BAK1	cl0_only
Negative Regulation Of Protein Phosphorylation (GO:0001933)	21/149	0.00257553018304089	0.354229724602992	0	0	2.11183176100629	12.5901071344905	MVP;PRKCD;PTEN;DAB2IP;DTNBP1;PRKAG2;FBLN1;LDLRAD4;SMAD6;SPRED2;DBNDD1;IBTK;IMPACT;DBNDD2;UBASH3B;CNKSR3;NF1;NCK2;SIRPA;PMEPA1;ZBED3	cl0_only
Actin-Mediated Cell Contraction (GO:0070252)	4/9	0.00259141793540327	0.354229724602992	0	0	10.2447513812155	61.0131299865401	GSN;EPDR1;EMP2;PARVA	cl0_only
Regulation Of Ceramide Biosynthetic Process (GO:2000303)	4/9	0.00259141793540327	0.354229724602992	0	0	10.2447513812155	61.0131299865401	SAMD8;SPHK2;SPHK1;PRKCD	cl0_only
Negative Regulation Of GTPase Activity (GO:0034260)	6/21	0.00304308516442871	0.354229724602992	0	0	5.12669432918396	29.7085959750963	GPSM1;WNK1;RCC2;DAB2IP;RRP1B;GMIP	cl0_only
Regulation Of miRNA Transcription (GO:1902893)	11/59	0.00312704574625528	0.354229724602992	0	0	2.94211195928753	16.9691207962357	NCOR2;EGR1;JUN;NCOR1;KLF5;RARA;MRTFA;HIF1A;ESR1;EGFR;APLN	cl0_only
Regulation Of Bone Resorption (GO:0045124)	7/28	0.00319966266888347	0.354229724602992	0	0	4.27381776239908	24.5518431707334	UBASH3B;SRC;INPP5D;SPP1;NF1;TMEM119;PRKCA	cl0_only
Regulation Of Protein Localization To Membrane (GO:1905475)	7/28	0.00319966266888347	0.354229724602992	0	0	4.27381776239908	24.5518431707334	VAMP8;CLN3;MMP14;GSN;FYN;SLC5A3;VTI1B	cl0_only
Vascular Endothelial Growth Factor Receptor Signaling Pathway (GO:0048010)	7/28	0.00319966266888347	0.354229724602992	0	0	4.27381776239908	24.5518431707334	SRC;FLT4;DAB2IP;VEGFC;FYN;VAV2;VEGFA	cl0_only
Positive Regulation Of Focal Adhesion Disassembly (GO:0120183)	3/5	0.00341609163828227	0.354229724602992	0	0	19.1987577639752	109.034702023533	DUSP3;PIK3R1;MAPRE2	cl0_only
Regulation Of Focal Adhesion Disassembly (GO:0120182)	3/5	0.00341609163828227	0.354229724602992	0	0	19.1987577639752	109.034702023533	DUSP3;PIK3R1;MAPRE2	cl0_only
Regulation Of Mast Cell Chemotaxis (GO:0060753)	3/5	0.00341609163828227	0.354229724602992	0	0	19.1987577639752	109.034702023533	VEGFC;RIN3;VEGFA	cl0_only
Regulation Of Non-Motile Cilium Assembly (GO:1902855)	3/5	0.00341609163828227	0.354229724602992	0	0	19.1987577639752	109.034702023533	MAP4;SEPTIN9;SEPTIN7	cl0_only
Negative Regulation Of Axonogenesis (GO:0050771)	6/22	0.00393053876226039	0.380025911163072	0	0	4.80601659751037	26.6204239156382	PTEN;SEMA3G;TRIM46;LRP4;ULK2;MT3	cl0_only
Actin Filament Depolymerization (GO:0030042)	4/10	0.00407206976869083	0.380025911163072	0	0	8.53683241252302	46.983343869944	GSN;WDR1;MICAL1;MICAL2	cl0_only
Diol Metabolic Process (GO:0034311)	4/10	0.00407206976869083	0.380025911163072	0	0	8.53683241252302	46.983343869944	SPHK2;SPHK1;PRKG2;PLPP2	cl0_only
Lens Fiber Cell Differentiation (GO:0070306)	4/10	0.00407206976869083	0.380025911163072	0	0	8.53683241252302	46.983343869944	MAF;WNT5B;HSF4;TDRD7	cl0_only
Negative Regulation Of Apoptotic Process (GO:0043066)	51/482	0.00435935590078007	0.383002072667259	0	0	1.53017483368691	8.31715966785603	ARF4;DDX3X;FLT4;IFIT3;RNF157;COMP;MYDGF;PCID2;TLE1;SPHK1;PRKCD;VSTM2L;PRKCA;NGF;TENT5B;MAPK8IP3;YWHAZ;DDAH2;ADAM8;NUPR1;LTK;SRC;GATA6;PIK3R1;FSTL1;EGFR;CLN3;NUAK2;ERBB3;ERBB4;CCL2;RICTOR;WNT1;MAP2K5;TFAP2A;PLK3;ANGPT4;FZD3;NPM1;ANGPT1;WFS1;PLK2;BRAF;IGF1;SMAD6;MT3;VEGFA;SH3RF2;GDNF;BCL2;RETREG1	cl0_only
Positive Regulation Of Smooth Muscle Cell Migration (GO:0014911)	5/16	0.00444512419720202	0.383002072667259	0	0	5.82301941320601	31.5371672559699	PDGFRB;DOCK5;FGF9;IGF1;S100A11	cl0_only
Negative Regulation Of Programmed Cell Death (GO:0043069)	42/381	0.0045118819631344	0.383002072667259	0	0	1.59998744743614	8.64159768433912	KANK2;ARF4;LTK;DDX3X;SRC;FLT4;GATA6;PIK3R1;FSTL1;IFIT3;EGFR;RNF157;COMP;MYDGF;CLN3;NUAK2;ERBB3;ERBB4;RICTOR;WNT1;TFAP2A;PLK3;ANGPT4;NPM1;PCID2;ANGPT1;WFS1;PLK2;SPHK1;BRAF;IGF1;SMAD6;TENT5B;MAPK8IP3;MT3;YWHAZ;VEGFA;SH3RF2;GDNF;DDAH2;BCL2;NUPR1	cl0_only
Intrinsic Apoptotic Signaling Pathway In Response To Endoplasmic Reticulum Stress (GO:0070059)	7/30	0.00484393952429499	0.383002072667259	0	0	3.90176019256808	20.7964869321276	PPP1R15A;CEBPB;TMEM117;DAB2IP;BCL2;BAK1;ATF4	cl0_only
Peptidyl-Tyrosine Modification (GO:0018212)	10/54	0.00498732112423578	0.383002072667259	0	0	2.91640398436515	15.459438615338	PDGFRB;BLK;PKDCC;SRC;ERBB4;FLT4;ABL2;FYN;EGFR;CLK2	cl0_only
Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043535)	10/54	0.00498732112423578	0.383002072667259	0	0	2.91640398436515	15.459438615338	ANGPT4;SH3BP1;ANGPT1;JUP;FGF18;NF1;PRKCA;PRCP;HIF1A;VEGFA	cl0_only
Regulation Of Epithelial Cell Proliferation (GO:0050678)	14/91	0.0058100206742762	0.383002072667259	0	0	2.3354406372487	12.0232481105895	ANGPT1;DAB2IP;LAMB1;IGF1;RUNX3;EGFR;VEGFA;CDK6;FGF9;DEAF1;FGF18;EPPK1;NUPR1;FGF10	cl0_only
Phospholipid Translocation (GO:0045332)	7/31	0.0058717903503948	0.383002072667259	0	0	3.73898500576701	19.2093932565031	ABCC1;ATP8B2;ABCB4;PLSCR4;ATP11C;ANO6;MFSD2A	cl0_only
Positive Regulation Of Proteolysis Involved In Protein Catabolic Process (GO:1903052)	7/31	0.0058717903503948	0.383002072667259	0	0	3.73898500576701	19.2093932565031	L3MBTL3;OSBPL7;SMURF1;PTEN;DAB2IP;CCDC22;NUPR1	cl0_only
Regulation Of Protein Autophosphorylation (GO:0031952)	7/31	0.0058717903503948	0.383002072667259	0	0	3.73898500576701	19.2093932565031	RAP2C;IMPACT;RAD50;DDX3X;MVP;PDGFA;VEGFA	cl0_only
Amyloid Precursor Protein Metabolic Process (GO:0042982)	5/17	0.00592548976569739	0.383002072667259	0	0	5.33747984335407	27.3732223271975	ADAM19;BACE1;CLN3;TMCC2;NSG1	cl0_only
Negative Regulation Of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904706)	5/17	0.00592548976569739	0.383002072667259	0	0	5.33747984335407	27.3732223271975	EFEMP2;TAFA5;PTEN;PRKG1;APLN	cl0_only
Positive Regulation Of Small GTPase Mediated Signal Transduction (GO:0051057)	5/17	0.00592548976569739	0.383002072667259	0	0	5.33747984335407	27.3732223271975	SRC;SHOC2;IGF1;NGF;FGF10	cl0_only
Positive Regulation Of Transcription From RNA Polymerase II Promoter In Response To Stress (GO:0036003)	5/17	0.00592548976569739	0.383002072667259	0	0	5.33747984335407	27.3732223271975	CEBPB;CREB3L1;HIF1A;VEGFA;ATF4	cl0_only
Positive Regulation Of Endoplasmic Reticulum Unfolded Protein Response (GO:1900103)	4/11	0.00603407172074128	0.383002072667259	0	0	7.31689029202841	37.3917477621517	BCL2L11;DAB2IP;BAK1;PIK3R1	cl0_only
Regulation Of CD4-positive, Alpha-Beta T Cell Differentiation (GO:0043370)	4/11	0.00603407172074128	0.383002072667259	0	0	7.31689029202841	37.3917477621517	SOCS1;TNFSF4;RUNX3;RUNX1	cl0_only
Regulation Of Keratinocyte Migration (GO:0051547)	4/11	0.00603407172074128	0.383002072667259	0	0	7.31689029202841	37.3917477621517	PTEN;EPPK1;MAPRE2;FGF10	cl0_only
Positive Regulation Of Signal Transduction (GO:0009967)	31/266	0.00617333841468182	0.383002072667259	0	0	1.70004042702921	8.64898204918226	SRC;PTEN;PIK3R1;SLC2A4;ERFE;PKD2;AGPAT1;HIF1A;CDKN2AIP;RIMS2;RXRA;ZMIZ1;NPTN;TSPAN5;BAK1;WNT1;LAMB2;DAB2IP;PRKCA;EMP2;LAMB1;IGF1;SORBS1;MT3;VEGFA;MYO1C;GKAP1;RAB34;DLG5;ULK3;CRLF2	cl0_only
Adherens Junction Maintenance (GO:0034334)	3/6	0.00646373709564354	0.383002072667259	0	0	12.7984817115252	64.5241551489813	KIFC3;INAVA;PLEKHA7	cl0_only
Locomotor Rhythm (GO:0045475)	3/6	0.00646373709564354	0.383002072667259	0	0	12.7984817115252	64.5241551489813	EGR1;NCOR1;PTEN	cl0_only
Negative Regulation Of Smooth Muscle Cell Apoptotic Process (GO:0034392)	3/6	0.00646373709564354	0.383002072667259	0	0	12.7984817115252	64.5241551489813	DNMT1;LYPD3;IGF1	cl0_only
Positive Regulation Of IRE1-mediated Unfolded Protein Response (GO:1903896)	3/6	0.00646373709564354	0.383002072667259	0	0	12.7984817115252	64.5241551489813	BCL2L11;DAB2IP;BAK1	cl0_only
Positive Regulation Of Mast Cell Activation (GO:0033005)	3/6	0.00646373709564354	0.383002072667259	0	0	12.7984817115252	64.5241551489813	SPHK2;NECTIN2;CRLF2	cl0_only
Regulation Of Apoptotic Process (GO:0042981)	69/705	0.00685058889364288	0.384308643253273	0	0	1.40512148869698	7.00231145732486	ARF4;DDX3X;FLT4;TRADD;IFIT3;RNF157;COMP;MYDGF;LGALS1;PCID2;SPHK2;SPHK1;ANO6;TENT5B;MAPK8IP3;YWHAZ;DYNAP;SHQ1;DDAH2;GAS1;NUPR1;ATF4;SLC27A4;LTK;SRC;GATA6;PIK3R1;FSTL1;EGFR;CLN3;BCL2L11;NUAK2;UBB;ERBB3;FRZB;ERBB4;UBD;IGF2BP1;ABL2;RICTOR;BMF;FYN;BAK1;ECT2;WNT1;ATG7;TFAP2A;PLK3;ANGPT4;EGR1;JUN;NPM1;ANGPT1;WFS1;PLK2;DAB2IP;HIP1R;BRAF;RRP1B;IGF1;SMAD6;MT3;VEGFA;SH3RF2;APC;GDNF;BCL2;NF1;ATP13A2	cl0_only
Positive Regulation Of Cellular Component Biogenesis (GO:0044089)	14/93	0.00705196709538391	0.384308643253273	0	0	2.27606908329079	11.2766674663348	SH3GLB1;MMP3;DAB2IP;PRKCA;SNF8;RHOC;VEGFA;LGALS3;BCL2L11;HAS3;BMF;ATP13A2;BAK1;SYNPO	cl0_only
Phosphatidylinositol 3-Kinase Signaling (GO:0014065)	7/32	0.00705409816106024	0.384308643253273	0	0	3.58923183391003	17.7815804410948	LTK;ERBB3;PTEN;NF1;PIK3CD;PIK3R1;IGF1	cl0_only
Plasma Membrane Bounded Cell Projection Organization (GO:0120036)	18/132	0.00708748590421495	0.384308643253273	0	0	2.02972913455186	10.0459913073577	DTNBP1;PTPRM;LAMB1;FRY;PKD2;RAB11A;PPP1R9B;TTC17;SAMD14;OPHN1;FAM161A;GDNF;CTTN;STMN1;MICALL1;TBC1D24;MAP4;PHPT1	cl0_only
Negative Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901991)	8/40	0.00719445393702411	0.384308643253273	0	0	3.20567867036011	15.81824456182	KANK2;RBL2;APC;USP44;PTEN;CCL2;PKD2;E2F7	cl0_only
Positive Regulation Of Cellular Component Organization (GO:0051130)	16/113	0.00754061119893597	0.384308643253273	0	0	2.11940384228814	10.3584846312625	SH3GLB1;PPP1R15A;CD151;AHNAK;MMP3;DAB2IP;LRP4;RHOC;RUNX1;VEGFA;LGALS3;BCL2L11;HAS3;BMF;BAK1;CAMK1	cl0_only
Peptidyl-Threonine Modification (GO:0018210)	11/66	0.00754809142430216	0.384308643253273	0	0	2.56668979875087	12.5420284178645	STK11;TBK1;SBK1;GALNT2;WNK1;CDC42BPG;PRKCD;STK39;CDK10;PRKCA;CDC42BPB	cl0_only
Response To Reactive Oxygen Species (GO:0000302)	11/66	0.00754809142430216	0.384308643253273	0	0	2.56668979875087	12.5420284178645	PLK3;JUN;TXNRD2;HYAL2;FYN;MPV17;PKD2;HIF1A;MT3;EGFR;PEX14	cl0_only
Autophagy Of Nucleus (GO:0044804)	5/18	0.00772117552745659	0.384308643253273	0	0	4.92663866886396	23.9621292705285	ULK3;ULK2;WIPI2;WDR45;ATG7	cl0_only
Negative Regulation Of ERBB Signaling Pathway (GO:1901185)	5/18	0.00772117552745659	0.384308643253273	0	0	4.92663866886396	23.9621292705285	PTPN18;DUSP3;MVP;DAB2IP;EGFR	cl0_only
Positive Regulation Of Response To Endoplasmic Reticulum Stress (GO:1905898)	5/18	0.00772117552745659	0.384308643253273	0	0	4.92663866886396	23.9621292705285	BCL2L11;NCK2;PIK3R1;BAK1;RNF183	cl0_only
Regulation Of Lymphocyte Proliferation (GO:0050670)	5/18	0.00772117552745659	0.384308643253273	0	0	4.92663866886396	23.9621292705285	LGALS3;MYDGF;TNFSF8;TNFRSF1B;FGF10	cl0_only
Regulation Of Transcription By RNA Polymerase II (GO:0006357)	175/2028	0.00789000555661456	0.386800540879887	0	0	1.23469063902385	5.97856769837067	CSF3;CRTC3;FHOD1;ZMYND8;UBE2D1;CCNC;NUCKS1;HOXA13;TBK1;ZMIZ1;CREB3L1;SOX6;PKNOX2;MEF2A;ACVR1;LMO1;MSX2;MRTFA;LMO7;POU3F1;RUNX3;PIAS2;HIC1;RUNX2;SAP30;HCFC1;RUNX1;EID1;MAF;SUB1;ERF;ADNP;ATF4;CASZ1;DLX3;NOTCH4;GATA6;PIK3R1;HIF1A;MED12L;CDKN2AIP;GLIS2;SBNO2;DEAF1;NACC2;ORC2;E4F1;CAMTA2;ALX1;HIVEP2;MAP2K5;ZBED3;NKX2-2;HEXIM1;TFAP2A;EGR1;PLK3;JUN;EGR2;JUP;WFS1;CBX2;MICAL2;IRF2BP2;SMAD9;NFATC1;SNF8;IGF1;SMAD6;ESR1;HOPX;NR2F6;GDNF;LHX2;AGO1;CNOT2;MAFG;RFXAP;UBA2;SP8;GTF2IRD1;MKX;HOXD3;RCOR2;MXD3;BRWD3;ARF4;SUV39H2;CSRNP1;GMEB1;DDX3X;TCF25;AKAP8L;WASL;PKD2;LITAF;MYDGF;HYAL2;NCK2;MYBL2;TGIF1;ACTR2;BATF3;ATMIN;TCF12;PAX3;TET1;ETV1;YWHAZ;POU5F2;TNFRSF1A;ETV6;NCOR2;KAT2B;IMPACT;ZEB2;ELF2;NCOR1;NFX1;TET3;CRY1;RARA;TLR9;IRF6;HMX2;KANK2;FOXC2;RNASEL;FOXC1;CEBPB;NFIX;CEBPG;MOSPD1;FOXK1;HOXD11;TRAK1;NR2C2;ASCL2;EGFR;MLLT6;RXRA;CUX1;GSC;MXI1;BEND3;HSF4;E2F2;PCGF1;E2F5;E2F7;ARNT2;NPM1;KDM4C;DAB2IP;FOXJ2;NR1H3;RRP1B;USF2;MEIS2;TBX18;TARBP1;VEGFA;KLF8;MEIS1;KLF5;NR6A1;KLF9;PKN1;TAF5;CAMK1;TAF3;LPIN2;SSBP3;LPIN3;SSBP4	cl0_only
Positive Regulation Of Vasculature Development (GO:1904018)	15/104	0.00803065742421592	0.386800540879887	0	0	2.16497384532383	10.4448922495386	ANGPT4;JUP;SPHK1;GATA6;PIK3CD;VEGFC;PRKCA;EMP2;HIF1A;HK2;RUNX1;VEGFA;MYDGF;FGF18;ITGB8	cl0_only
