set	gene
cl0_only	Zmiz1
cl0_only	Ppifos
cl0_only	Arf4
cl0_only	Mir7672
cl0_only	Cacna2d3
cl0_only	Tkt
cl0_only	Prkcd
cl0_only	Smim4
cl0_only	Nisch
cl0_only	Sema3g
cl0_only	Ldb3
cl0_only	Samd4
cl0_only	Lgals3
cl0_only	Ktn1
cl0_only	Arhgef40
cl0_only	Zfp219
cl0_only	Mmp14
cl0_only	Lrp10
cl0_only	Mir686
cl0_only	Dhrs1
cl0_only	Parp4
cl0_only	Fgf9
cl0_only	Cdadc1
cl0_only	Dleu2
cl0_only	Rnaseh2b
cl0_only	Fam124a
cl0_only	Gm51283
cl0_only	Blk
cl0_only	Fam167a
cl0_only	Fzd3
cl0_only	Ccdc25
cl0_only	Cdca2
cl0_only	Dock5
cl0_only	Mir6950
cl0_only	9930012K11Rik
cl0_only	Ppp3cc
cl0_only	Lpar6
cl0_only	4930444M15Rik
cl0_only	Dgkh
cl0_only	Klf5
cl0_only	Lmo7
cl0_only	Farp1
cl0_only	B930095G15Rik
cl0_only	Ghr
cl0_only	Oxct1
cl0_only	Rictor
cl0_only	Gdnf
cl0_only	Nadk2
cl0_only	Brix1
cl0_only	Sub1
cl0_only	Retreg1
cl0_only	Trio
cl0_only	Cox6c
cl0_only	Ywhaz
cl0_only	Ncald
cl0_only	Fzd6
cl0_only	Rims2
cl0_only	Angpt1
cl0_only	Gm26684
cl0_only	Peg13
cl0_only	Arc
cl0_only	Lypd2
cl0_only	Ly6e
cl0_only	Rhpn1
cl0_only	Tsta3
cl0_only	Fam83h
cl0_only	Eppk1
cl0_only	Plec
cl0_only	Smpd5
cl0_only	Sharpin
cl0_only	Vps28
cl0_only	Cyhr1
cl0_only	Commd5
cl0_only	Rbfox2
cl0_only	Apol10b
cl0_only	Apol8
cl0_only	Cdc42ep1
cl0_only	Sh3bp1
cl0_only	Lgals1
cl0_only	Micall1
cl0_only	Csnk1e
cl0_only	Kdelr3
cl0_only	Nptxr
cl0_only	Apobec3
cl0_only	Atf4
cl0_only	Tnrc6b
cl0_only	Mrtfa
cl0_only	4930483J18Rik
cl0_only	8430426J06Rik
cl0_only	Rangap1
cl0_only	Zc3h7b
cl0_only	Csdc2
cl0_only	Pmm1
cl0_only	Snu13
cl0_only	Ttll1
cl0_only	Fbln1
cl0_only	Tafa5
cl0_only	Tubgcp6
cl0_only	Slc2a13
cl0_only	Tmem117
cl0_only	Ano6
cl0_only	Slc38a1
cl0_only	Slc38a2
cl0_only	Vdr
cl0_only	Cacnb3
cl0_only	Arf3
cl0_only	Wnt1
cl0_only	Tuba1b
cl0_only	Gm16537
cl0_only	Smagp
cl0_only	AU021063
cl0_only	Igfbp6
cl0_only	Glis2
cl0_only	Nagpa
cl0_only	Rbfox1
cl0_only	Emp2
cl0_only	Socs1
cl0_only	Litaf
cl0_only	Gspt1
cl0_only	Snx29
cl0_only	A930007A09Rik
cl0_only	Abcc1
cl0_only	Mir130b
cl0_only	Aifm3
cl0_only	Zdhhc8
cl0_only	Tango2
cl0_only	Txnrd2
cl0_only	Vwa5b2
cl0_only	Fam131a
cl0_only	Clcn2
cl0_only	Chrd
cl0_only	Mir7680
cl0_only	Igf2bp2
cl0_only	Tra2b
cl0_only	Ccdc50
cl0_only	Mb21d2
cl0_only	Lrrc15
cl0_only	Xxylt1
cl0_only	Acap2
cl0_only	Tnk2
cl0_only	Lrch3
cl0_only	1600019K03Rik
cl0_only	Slc49a4
cl0_only	Kpna1
cl0_only	Fstl1
cl0_only	B4galt4
cl0_only	Cfap44
cl0_only	Mir3081
cl0_only	Epha6
cl0_only	Tiam1
cl0_only	Eva1c
cl0_only	Synj1
cl0_only	Gart
cl0_only	Slc5a3
cl0_only	Runx1
cl0_only	Dop1b
cl0_only	Hlcs
cl0_only	Pigp
cl0_only	Mx1
cl0_only	Ripk4
cl0_only	3300005D01Rik
cl0_only	Synj2
cl0_only	Tmem181a
cl0_only	Tagap1
cl0_only	Rnaset2a
cl0_only	Pde10a
cl0_only	Qk
cl0_only	Zfp52
cl0_only	Gm7072
cl0_only	Zfp945
cl0_only	Zfp40
cl0_only	Prss22
cl0_only	Tbc1d24
cl0_only	E4f1
cl0_only	Syngr3
cl0_only	Mapk8ip3
cl0_only	BC003965
cl0_only	Baiap3
cl0_only	Fam173a
cl0_only	Metrn
cl0_only	Fbxl16
cl0_only	Wdr24
cl0_only	Rab11fip3
cl0_only	Nme4
cl0_only	Dusp1
cl0_only	Ergic1
cl0_only	Gm51291
cl0_only	Bak1
cl0_only	Lemd2
cl0_only	Srpk1
cl0_only	Ppil1
cl0_only	Rrp1b
cl0_only	Akap8
cl0_only	Akap8l
cl0_only	Rab11b
cl0_only	Tapbp
cl0_only	Notch4
cl0_only	Pbx2
cl0_only	Agpat1
cl0_only	Snord52
cl0_only	Ddah2
cl0_only	H2-Q4
cl0_only	Vars2
cl0_only	Tubb5
cl0_only	A930015D03Rik
cl0_only	H2-Bl
cl0_only	Gabbr1
cl0_only	Ubd
cl0_only	Ptchd4
cl0_only	Runx2
cl0_only	Vegfa
cl0_only	Gtpbp2
cl0_only	Tbcc
cl0_only	Kif6
cl0_only	Kat2b
cl0_only	Plin4
cl0_only	Sema6b
cl0_only	Mydgf
cl0_only	Gm20219
cl0_only	Gpr108
cl0_only	Mir6420
cl0_only	Ankrd12
cl0_only	Mtcl1
cl0_only	Ptprm
cl0_only	Tgif1
cl0_only	Lpin2
cl0_only	Cdc42ep3
cl0_only	Rmdn2
cl0_only	Map4k3
cl0_only	Pkdcc
cl0_only	Prkce
cl0_only	4833418N02Rik
cl0_only	Map3k8
cl0_only	Mir1893
cl0_only	Mkx
cl0_only	Esco1
cl0_only	Gata6
cl0_only	Npc1
cl0_only	Lama3
cl0_only	Impact
cl0_only	Taf4b
cl0_only	Dtna
cl0_only	Mapre2
cl0_only	Mocos
cl0_only	Slc25a46
cl0_only	Sft2d3
cl0_only	Nrep
cl0_only	Apc
cl0_only	Egr1
cl0_only	Matr3
cl0_only	Pcdhb17
cl0_only	Sh3rf2
cl0_only	Dpysl3
cl0_only	Ppic
cl0_only	Gramd3
cl0_only	Isoc1
