gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Smc1b,0.710222285312829,0.34351863125836,0.069,0.038,1
Olfr380,0.710305801104221,1.11231598780618,0.013,0.005,1
Fam98b,0.710387586401283,-0.00837547074801659,0.063,0.046,1
Pabpc4l,0.71060103280771,0.340741131276523,0.025,0.025,1
Nt5c3,0.710610012090458,-0.0184050321370561,0.101,0.097,1
Gm16485,0.710675845836771,0.792833590358401,0.025,0.013,1
Neu2,0.710878941976046,0.312035793896947,0.107,0.065,1
Iqcb1,0.710914412629358,0.496259629132658,0.075,0.051,1
Fdxr,0.710931824838507,0.613367972709694,0.038,0.023,1
3110079O15Rik,0.710957671576557,1.5155719825363,0.013,0.008,1
Acap1,0.711013015749231,0.360420867543269,0.019,0.013,1
Galp,0.711041998999181,0.508463777782183,0.044,0.029,1
Dtnb,0.711188932170506,0.138723837426475,0.245,0.154,1
Pam,0.71125868407327,-0.0286262455709581,0.453,0.348,1
Tnrc6c,0.71139181559568,-0.00224635368777282,0.107,0.079,1
Tmem29,0.711404448495279,0.327165830174231,0.057,0.035,1
Kdm5c,0.71150208374732,0.870287000111122,0.019,0.009,1
Il3ra,0.711569803349861,-0.212167878157985,0.025,0.025,1
4930426L09Rik,0.711571335486819,1.20157769476428,0.025,0.016,1
Xkr8,0.711677690906424,0.317185942763285,0.025,0.018,1
Upf3b,0.711737400648399,0.313180172491954,0.05,0.029,1
Gkap1,0.711782560935181,0.208621183013008,0.038,0.028,1
Prelp,0.71185849415125,0.980342347122008,0.019,0.011,1
Siglec1,0.711984229417366,0.0565495105640759,0.025,0.018,1
Unc5cl,0.711987112700395,-0.0746060323460847,0.113,0.08,1
Ptpre,0.712130359169254,-0.21722878850415,0.132,0.096,1
Dph1,0.712146686676573,0.00898646191390906,0.031,0.023,1
Cpz,0.712197443413423,0.369858955566225,0.075,0.041,1
PCDHGA9,0.712288515386614,0.428684295502792,0.05,0.031,1
Vmn2r87,0.712315965497331,0.651969081977386,0.019,0.01,1
Podxl2,0.712499124077641,0.374328396563974,0.063,0.042,1
Zfp128,0.712590577233012,0.28296809204419,0.025,0.023,1
Lrrc32,0.712688401079894,1.20281829059801,0.013,0.007,1
Cdc20b,0.712767941435808,0.10699308917293,0.119,0.074,1
Setd4,0.712782174282924,0.726522129560238,0.05,0.034,1
Eva1a,0.712912756377547,0.540669805576178,0.069,0.04,1
Cnksr3,0.713045017418341,0.182799078950883,0.17,0.12,1
Dad1,0.713081944141172,0.142451717519283,0.031,0.027,1
4931406C07Rik,0.713084323141589,0.233767898796583,0.075,0.048,1
Zdhhc6,0.713120933573187,0.52733800356831,0.063,0.031,1
Serpinb6b,0.713169000802038,-0.00569008094256329,0.05,0.051,1
Gm14597,0.713177740332912,-0.0941652226863123,0.075,0.051,1
Plin3,0.713193038458954,0.46853182016305,0.025,0.021,1
Smap1,0.713226035753854,0.0269867777791739,0.132,0.079,1
Spats2,0.713303163246005,0.154151437020646,0.088,0.079,1
Snapin,0.713445926172533,0.336240177855212,0.019,0.016,1
Foxo3,0.713560295707843,0.136124612549449,0.088,0.053,1
Zfp445,0.713623504808921,0.648984513818702,0.019,0.008,1
Mre11a,0.713625212027823,-0.0901025203234718,0.17,0.134,1
Cpa6,0.713675218676954,-0.181091019755633,0.371,0.319,1
Gm28053,0.713754279284424,0.242801394906219,0.044,0.029,1
Slc4a9,0.713813284027003,0.197623409823584,0.019,0.013,1
Fyttd1,0.713867859853787,0.932601800922373,0.031,0.018,1
Rgs10,0.713869969468296,0.525829994642646,0.069,0.038,1
Rfc2,0.713902502557381,0.734825573646291,0.025,0.021,1
Isoc2a,0.71402389722753,0.42141180673781,0.038,0.026,1
