gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Stk35,1.34274529504252e-13,-0.245215308103714,0.044,0.099,4.16976123922505e-09
Tmub1,1.35135556795654e-13,0.432316714760059,0.116,0.21,4.19649958073223e-09
2310009B15Rik,1.35446423944134e-13,0.150051706926233,0.124,0.22,4.20615324916115e-09
Rce1,1.35690972789456e-13,0.281921074205191,0.226,0.383,4.21374746900377e-09
Arnt,1.37492483095321e-13,0.00976309609230031,0.178,0.297,4.26969157004211e-09
Ccdc89,1.40214307671946e-13,-0.629678805365162,0.006,0.035,4.35421511044461e-09
Hbegf,1.40891547578208e-13,0.636512825039648,0.31,0.241,4.37524611849368e-09
Tmem28,1.4239285022323e-13,-1.36308030153253,0.005,0.033,4.42186757083217e-09
Prdx4,1.44542249864957e-13,-0.0743117734269613,0.403,0.626,4.48861502730636e-09
Ap4e1,1.46695320514216e-13,0.237910960897459,0.081,0.155,4.55547648324845e-09
Mthfd1,1.50401952857058e-13,1.65709436403441,0.23,0.184,4.67058224402308e-09
Swsap1,1.50413070168334e-13,-0.309563483064759,0.02,0.061,4.67092748100744e-09
Gmppa,1.50431016270227e-13,0.263069578444155,0.127,0.225,4.67148477925564e-09
Zfp41,1.51915659696362e-13,0.230704193852981,0.071,0.141,4.71758889621083e-09
H2-Ab1,1.52260483282921e-13,-2.40908690048755,0.004,0.031,4.72829704786782e-09
2310016G11Rik,1.53815548716441e-13,3.52698685501382,0.036,0.007,4.77658804984036e-09
Sh3yl1,1.53849195399099e-13,-0.0846445595960912,0.023,0.065,4.77763291392363e-09
Tyrobp,1.54972181875895e-13,-4.11594164620893,0.013,0.047,4.81250613597404e-09
Mcmbp,1.55944868652702e-13,0.147604312995896,0.268,0.442,4.84271195114102e-09
R3hdm2,1.57998389522245e-13,-0.00237532954957176,0.327,0.524,4.90648198822381e-09
Ccnd2,1.5820871349281e-13,-1.63736412434734,0.168,0.236,4.91301338880571e-09
Dmrta2,1.59106052514475e-13,2.37670147146648,0.058,0.02,4.94087935478452e-09
Arhgdig,1.63442544660401e-13,-1.21099147473157,0.007,0.036,5.0755447818841e-09
Cpsf1,1.63848009557489e-13,0.102776398554778,0.054,0.114,5.08813608879826e-09
Agr3,1.64173115012318e-13,-2.17251958166506,0.003,0.027,5.09823191359253e-09
Gab2,1.65614222027813e-13,-0.649330922105887,0.031,0.078,5.14298405085169e-09
Pdik1l,1.65745030538989e-13,0.135713606765981,0.114,0.203,5.14704617835776e-09
Mrpl16,1.67458841449379e-13,0.241027116786458,0.139,0.242,5.200266862369e-09
Saal1,1.70512993602715e-13,-0.345728975430198,0.059,0.121,5.29511050333873e-09
Fst,1.72849732620775e-13,-3.2220396647065,0.002,0.025,5.36767559680555e-09
Fbxw10,1.73014249812302e-13,1.65329549165026,0.08,0.035,5.37278451367123e-09
Evi5,1.75778473734565e-13,-0.203454708722078,0.209,0.325,5.45862472335319e-09
Mybl1,1.77027028913714e-13,-0.884732841949651,0.011,0.045,5.49739735588649e-09
Pip5k1c,1.82105232996641e-13,-0.244643560900595,0.086,0.16,5.6550959054777e-09
Sin3b,1.84218740629776e-13,0.0108980907740046,0.393,0.631,5.72072877151706e-09
Zfp58,1.84291951976399e-13,-0.147113574134707,0.03,0.077,5.72300227667509e-09
Nek8,1.84940861371786e-13,1.33465349991192,0.103,0.052,5.74315350903944e-09
Zkscan14,1.88156885550226e-13,0.284368022926588,0.052,0.111,5.84302392387672e-09
1700037C18Rik,1.90154750704585e-13,-0.186002814249718,0.043,0.098,5.90506562838019e-09
Prkch,1.9042922184024e-13,-3.42197954841239,0.002,0.026,5.9135890550268e-09
Mroh3,1.92529802727262e-13,-3.16001913925822,0.001,0.023,5.97882049389239e-09
Cwc25,1.96296397812997e-13,0.300628849624398,0.19,0.323,6.09578833768481e-09
Styx,1.97034090414739e-13,0.327377675909668,0.095,0.178,6.1186966437393e-09
Gch1,1.99194624398694e-13,-4.56861019961057,0.001,0.022,6.18578986607705e-09
Wfdc12,1.9953998323622e-13,-4.91323137070845,0,0.02,6.19651463941758e-09
Foxc2,1.9953998323622e-13,-6.81979005171638,0,0.02,6.19651463941758e-09
Nfkb2,2.01507523649343e-13,-0.924123777994076,0.015,0.052,6.25761463940671e-09
Zfp410,2.02499223124195e-13,0.319666815653853,0.172,0.294,6.28841087489875e-09
Myt1l,2.03458526546822e-13,-2.78932250272142,0.003,0.028,6.31820108338501e-09
Zbtb39,2.06548481488869e-13,-0.327598598519927,0.036,0.087,6.41415654415534e-09
Rilp,2.10253921398855e-13,2.39611069361579,0.047,0.014,6.52922527512004e-09
Timmdc1,2.12727861819416e-13,0.167521413676277,0.072,0.142,6.60605102094014e-09
Kif1a,2.15259654381744e-13,-0.277274376953975,0.49,0.584,6.68467330717067e-09
Iglon5,2.2397450235506e-13,1.74973843042372,0.089,0.042,6.95530419613403e-09
Cox6b1,2.24725665860325e-13,-0.162585006390069,0.774,0.9,6.97863082762653e-09
Gpr34,2.26855038405134e-13,-4.0994371481277,0.006,0.035,7.04475636263304e-09
Limch1,2.37315556681754e-13,0.383167871663556,0.66,0.604,7.3695972971952e-09
Nrde2,2.40791161060165e-13,0.382613541851589,0.101,0.186,7.47752871556235e-09
Atp7a,2.41829247150283e-13,-0.350610522712242,0.113,0.196,7.50976544100488e-09
Emid1,2.41980935426783e-13,-1.54373716205872,0.031,0.076,7.51447596874331e-09
Entpd6,2.48288825064446e-13,1.43115640193409,0.157,0.1,7.7103611735513e-09
Pabpc4,2.55564590107904e-13,-0.0708434277783181,0.066,0.131,7.93630278121085e-09
Zfp747,2.57255319463845e-13,-0.592299640759628,0.017,0.056,7.98880669063024e-09
2700012I20Rik,2.59854165574522e-13,-1.56671864160643,0.004,0.03,8.06951125775122e-09
Mthfd2l,2.62598526010928e-13,0.760887567450579,0.293,0.235,8.15473462674335e-09
Cdc42bpa,2.63257597998265e-13,-0.160359730709964,0.475,0.653,8.17520144823811e-09
Gm33195,2.63731215860144e-13,2.77572359699666,0.042,0.011,8.1899091773209e-09
Ino80b,2.64271167333732e-13,0.181707742879078,0.249,0.417,8.20667683038172e-09
Mapkapk5,2.66682025093173e-13,-0.205433386946433,0.015,0.052,8.28154360724341e-09
Sardh,2.69813935167974e-13,1.45639634441901,0.099,0.05,8.37880194270628e-09
Ccdc149,2.71204435312809e-13,-1.70136048919226,0.009,0.04,8.42198253420398e-09
Irf5,2.72766606804405e-13,-3.44891399361889,0.002,0.024,8.47049420770399e-09
Aspg,2.73197376868273e-13,2.5762301073026,0.036,0.008,8.48387134126734e-09
Lgals1,2.74673394501182e-13,-1.97773107300993,0.091,0.15,8.52970759283971e-09
Notch2,2.75420114230391e-13,0.262198823462848,0.329,0.243,8.55289622731056e-09
Smim8,2.77530310263688e-13,0.340094569206351,0.248,0.423,8.61842625492856e-09
Mcat,2.77929052422854e-13,0.255946170472674,0.093,0.174,8.63080879393931e-09
AC162302.1,2.79670841263674e-13,0.134256918651588,0.029,0.075,8.68489830460212e-09
Coch,2.80950033020913e-13,-6.98912387930986,0.001,0.023,8.72462232543144e-09
Zfp983,2.83309915403495e-13,-0.495768155734477,0.01,0.042,8.79790611294014e-09
Cd2ap,2.9221360959486e-13,-0.120041669264293,0.292,0.456,9.07440143235879e-09
Klhl18,3.03836431132594e-13,0.112883484552712,0.08,0.153,9.43533653239157e-09
Arhgap45,3.07390268037734e-13,-3.80996335434226,0.001,0.023,9.54569738364378e-09
Mtbp,3.07940640900665e-13,-0.516913226690448,0.023,0.065,9.56278866252926e-09
L1cam,3.17774941823477e-13,-2.77534026734347,0.002,0.026,9.86818304338627e-09
Zfp113,3.19486204483048e-13,0.22231965349393,0.097,0.178,9.92132459401656e-09
Six1,3.22130525290739e-13,-6.75823889385694,0,0.02,1.00034413323786e-08
Htr7,3.22130535535773e-13,-6.14627319932484,0,0.02,1.00034416505279e-08
Pnpla6,3.22364834001994e-13,0.303473020910442,0.167,0.288,1.00107175550979e-08
Susd3,3.24227208939397e-13,-4.6411798247688,0.001,0.022,1.0068551746404e-08
C230004F18Rik,3.25361876060859e-13,-1.43344665187102,0.011,0.044,1.01037876991939e-08
Ncaph,3.28004295582599e-13,-2.35103850830207,0.002,0.026,1.0185845395022e-08
Tpmt,3.28688588870164e-13,1.44736824631389,0.273,0.237,1.02070954387741e-08
Iigp1,3.30304259844248e-13,-0.695238285087166,0.006,0.035,1.02572684852033e-08
Dkk2,3.31607079998133e-13,-4.64789518659515,0.002,0.025,1.0297726262262e-08
4933404O12Rik,3.36289605245717e-13,-0.516623832931122,0.016,0.053,1.04431374013005e-08
Csrnp2,3.45225730674108e-13,-0.0841636720479091,0.03,0.077,1.07206398403538e-08
2310022A10Rik,3.4544143690422e-13,0.0125730504055976,0.057,0.119,1.07273383816237e-08
Dusp14,3.46794943868055e-13,-1.33009791349743,0.009,0.041,1.07693701868786e-08
Il1rapl1,3.54083347804049e-13,0.179179737323977,0.157,0.265,1.09957042827069e-08
Golph3l,3.54486665864581e-13,0.234899388735514,0.123,0.216,1.10082289217587e-08
Kdm4b,3.54754114875174e-13,0.307747181904896,0.103,0.188,1.10165342833336e-08
Helz2,3.54954700490198e-13,-3.68771419548329,0.002,0.025,1.10227632690226e-08
Cxadr,3.61884714278947e-13,-3.72156355791644,0.002,0.025,1.12379679172184e-08
Kdelr1,3.62652299931546e-13,0.550811678921697,0.555,0.642,1.12618045220742e-08
Cd14,3.71429056106443e-13,-4.16341303011406,0.003,0.027,1.15343579083295e-08
N4bp2l1,3.71602587947067e-13,0.252677135727104,0.07,0.139,1.15397467661082e-08
Caap1,3.80236935078179e-13,0.310107038703672,0.174,0.296,1.18078777819178e-08
Endov,3.80988382188606e-13,0.0313905485351005,0.061,0.123,1.1831213220485e-08
Garnl3,3.82591673438903e-13,-0.666241399248142,0.016,0.053,1.18810018269717e-08
Psmd12,3.98144972586282e-13,-0.00047462963529013,0.41,0.651,1.23639939786944e-08
Zim1,3.98801438679153e-13,2.02721324079276,0.034,0.007,1.23843798767424e-08
Gcfc2,4.02679899562538e-13,0.30394261947628,0.083,0.158,1.25048216010151e-08
Rhot1,4.04292622477722e-13,0.141072101243777,0.275,0.454,1.25549030984232e-08
Sdc1,4.19065592602438e-13,-2.07227600516842,0.006,0.033,1.30136629126761e-08
Ptk7,4.27320585077e-13,-1.58197534230397,0.032,0.076,1.32700134489812e-08
Mfn2,4.29052590441479e-13,0.268581627786658,0.14,0.244,1.33237991435697e-08
Acadsb,4.33345659487498e-13,-0.0735650517476834,0.239,0.378,1.34571161097248e-08
Iqsec2,4.44158512408866e-13,0.32279852577204,0.078,0.151,1.37928984443449e-08
Arhgef5,4.44720390263233e-13,-1.85510842693851,0.019,0.056,1.38103469992345e-08
Rfx3,4.47577716915621e-13,1.60798664736705,0.207,0.157,1.38990784210977e-08
Lrrc73,4.47589797936461e-13,-0.464664234855065,0.036,0.085,1.38994535851189e-08
Mzt2,4.52680974791057e-13,0.24467074884588,0.166,0.283,1.40575549911615e-08
Capn15,4.57436392869448e-13,0.183535201014039,0.182,0.307,1.42052297441679e-08
Sfxn3,4.61865126957069e-13,-0.834729756270324,0.038,0.087,1.43427596525248e-08
Layn,4.74548759769247e-13,-3.274181653749,0.004,0.03,1.47366371858742e-08
Lrrc51,4.75092198521182e-13,1.82303305399144,0.125,0.073,1.47535131328768e-08
Kansl2,4.80065051406849e-13,0.323646211650744,0.194,0.328,1.49079401063883e-08
Yod1,4.82860419623011e-13,0.277473633105673,0.186,0.315,1.4994747470973e-08
Rad9a,4.87911105377982e-13,-0.32006102416145,0.031,0.077,1.51515914664079e-08
Smc2os,4.95605843087187e-13,-0.741298716759945,0.008,0.038,1.53905438512295e-08
Ncor1,4.9880396594307e-13,-0.181352291002737,0.586,0.814,1.54898583583961e-08
Prrg2,4.99077903343089e-13,0.170718320937634,0.079,0.151,1.54983652104163e-08
Pld3,5.01229801667737e-13,0.174614721781719,0.206,0.343,1.55651902609899e-08
Reck,5.0354773841954e-13,-0.947011550628827,0.038,0.086,1.56371714688804e-08
Ttc8,5.04473458710037e-13,1.22360168384464,0.297,0.265,1.56659187867815e-08
Vangl1,5.14263478737367e-13,-0.232292988013041,0.114,0.196,1.59699380687102e-08
Dhodh,5.17069493087443e-13,0.44677753338726,0.096,0.178,1.60570760383375e-08
Gm16536,5.17496920166478e-13,0.148470284475397,0.055,0.116,1.60703493588498e-08
Foxf1,5.20022071093205e-13,-6.11974787546305,0,0.02,1.61487653957284e-08
Samsn1,5.20022071093205e-13,-6.32902610648945,0,0.02,1.61487653957284e-08
Cmya5,5.25600099559083e-13,1.95422697232789,0.057,0.02,1.63219854917078e-08
