p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
5.934784394414612e-59	-2.0459696070274376	0.223	0.544	1.8429879458415136e-54	OEC	Cxcl14
1.0338188929152434e-58	-1.3752435609690619	0.401	0.726	3.210421190058997e-54	OEC	Ugp2
2.164653995113088e-58	-1.5206775983872056	0.577	0.748	6.722116516424184e-54	OEC	Lsamp
5.523617872509762e-58	-1.7507351326362113	0.228	0.558	1.7153042941291817e-53	OEC	Rorb
8.30196679200977e-58	1.1887881869458248	0.752	0.548	2.578092767590714e-53	OEC	Bmyc
1.9844799683347463e-57	-1.3296663459085853	0.489	0.777	6.162604093666721e-53	OEC	Eno1
3.157005307955156e-57	1.0534238073454638	0.813	0.692	9.803764283323942e-53	OEC	Glo1
5.762910471949569e-57	-1.2160344935155158	0.244	0.621	1.7896142179592192e-52	OEC	Lrp1b
7.573527309109623e-57	1.247082805595138	0.752	0.636	2.351883170570902e-52	OEC	Cyp2j6
1.186267831534567e-56	-1.8603688374024059	0.865	0.904	3.683836124047445e-52	OEC	Mt1
3.5728857666361268e-56	0.7268810823884828	0.923	0.835	1.1095239459711828e-51	OEC	Tmbim6
6.1298723323216535e-56	-1.9230063759192242	0.498	0.711	1.903570554079166e-51	OEC	Mt3
1.122382166740135e-55	-1.5049959799294181	0.3	0.644	3.485445580594815e-51	OEC	Cadm1
2.195724569237845e-55	1.1626452984072917	0.591	0.29	6.818603077311203e-51	OEC	Plce1
2.3009872836329597e-55	-1.8419896105490488	0.294	0.575	7.145485910593793e-51	OEC	Acsl6
1.5830351494280268e-54	1.680964516003511	0.687	0.472	4.915957353033794e-50	OEC	Rgcc
2.189856808447776e-54	1.251867339723053	0.712	0.476	6.800381332953724e-50	OEC	Aldh2
7.75134269241806e-54	-1.8155898932732746	0.23	0.541	2.4071019597035044e-49	OEC	Phkg1
1.2740537268279385e-53	-1.6562639417621678	0.818	0.923	3.95644644329148e-49	OEC	Plpp3
1.579365140051294e-53	1.2622337664613288	0.588	0.33	4.904560505915289e-49	OEC	Pkig
4.4980111256118595e-53	1.1536652178983662	0.78	0.549	1.3968123749475067e-48	OEC	Fxyd1
6.891905695291116e-53	-1.752108352023458	0.294	0.601	2.1402123946157032e-48	OEC	Arxes2
1.0120075383173855e-52	-1.5969392563180853	0.549	0.704	3.142688209490809e-48	OEC	Bcan
1.0380513389030273e-52	-1.361779295161598	0.324	0.651	3.2235646278294607e-48	OEC	Camk2n1
2.5648009045374418e-52	1.076621902674562	0.772	0.608	7.964732728950572e-48	OEC	Mtch1
3.2180664931116594e-52	-1.4048257341155175	0.247	0.567	9.993383687708947e-48	OEC	Omg
7.996926959280019e-52	0.7240025024612728	0.866	0.659	2.483365697934817e-47	OEC	Sec11c
1.0549917389283261e-51	1.2217180141932436	0.725	0.595	3.276171346068024e-47	OEC	Uqcc2
1.1303560854965363e-51	-1.956129430685845	0.437	0.633	3.510207787900944e-47	OEC	Slc7a10
3.22172170136068e-51	-1.8514735969919083	0.219	0.518	1.0004734571405456e-46	OEC	Gabrb1
4.333761943366528e-51	-1.0576297414243534	0.393	0.692	1.3458064338930416e-46	OEC	Fnbp1
4.574853391755733e-51	-1.55630239784278	0.184	0.533	1.4206749722758253e-46	OEC	Pantr1
5.386132187224202e-51	0.6843983044262871	0.94	0.926	1.6726094894206037e-46	OEC	Tspan3
1.339762507968451e-50	-1.8907704395602314	0.494	0.66	4.1604984922452275e-46	OEC	Gm3764
2.6329478086914225e-50	-1.3438507982743684	0.215	0.548	8.176356125110344e-46	OEC	Sorl1
3.783019232689062e-50	1.0976730781056518	0.719	0.477	1.1747787925192612e-45	OEC	Celf2
3.957935731511668e-50	-1.4417529814437549	0.362	0.668	1.2290973620636335e-45	OEC	Slc2a1
9.898874870232618e-50	0.2787112501917175	0.865	0.477	3.073996602202037e-45	OEC	Stmn1
1.888926061022507e-49	-1.5968322819098555	0.215	0.528	5.865870989899294e-45	OEC	Clmn
2.195898641947214e-49	-1.0354753139397537	0.398	0.678	6.819143642702878e-45	OEC	Lap3
2.7136912550248458e-49	1.458456726388652	0.607	0.396	8.427096823354157e-45	OEC	Nsmf
5.183118382208144e-49	-1.8716055515707144	0.329	0.601	1.609565582410917e-44	OEC	Tubb2b
5.729893064193634e-49	-0.864438181098413	0.671	0.856	1.7793609921546912e-44	OEC	Ccdc88a
7.0833234823125e-49	-1.6280927747489788	0.214	0.532	2.199655274197324e-44	OEC	Alcam
2.015988947861727e-48	0.9566646051486272	0.736	0.463	6.260452078689807e-44	OEC	Tmem176a
2.7056909460693698e-48	-0.9349732165352271	0.607	0.841	8.40225266392382e-44	OEC	Atp2a2
4.932556474947746e-48	-1.084281782728989	0.346	0.662	1.5317560877302729e-43	OEC	Gnao1
