original_index,cl0_signal,cl1_signal,score,order_index,order_rank,source_loci,cl0_order_rows,cl1_order_rows,cl0_heatmap_rows,cl1_heatmap_rows,order_length,order_matches_cl0,order_matches_cl1
2110,11.0432679709934,55.1549701463609,609.091115258404,6820,7058,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2111,33.4143198171557,54.0248535606018,1805.20373494895,8451,3698,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2112,19.7264129615124,46.701149393011,921.246158703821,7867,5913,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2113,32.3860219599127,49.8213319044847,1613.51474913074,9063,4047,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2114,1.55345394611359,1.78193397521973,2.76815236551895,4743,9253,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2115,35.0567679575511,19.5126192229135,684.049364341729,3250,6755,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2116,53.0948974609375,51.7523623466492,2747.78637215662,971,2496,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2117,19.6607653357262,50.8531307508779,999.811470280012,3124,5632,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2118,32.4237478734567,53.1447984217093,1723.15354481118,1632,3838,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2119,49.8594117064676,55.6682140070521,2775.58440114136,1143,2462,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2120,10.8537135425123,101.614447769609,1102.89410787192,1301,5363,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2121,21.0211933222204,48.8175924237804,1026.20404786565,4376,5567,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2122,18.7821954227075,19.2473498204859,361.507485697582,4607,8107,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2123,39.3809779582579,34.7484720265207,1368.42881095955,2757,4626,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2124,127.914048649391,210.220237264292,26890.1216565112,4059,59,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2125,77.8045990065773,47.913043796426,3727.8551597655,151,1769,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2126,20.1394414203508,32.8111995032855,660.799230327861,6413,6847,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2127,23.3692165077457,163.465693956445,3820.06519365705,6749,1726,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2128,24.599452603299,61.9743554061433,1524.53521843343,8300,4241,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2129,23.7993775729197,77.3032072167308,1839.76821614863,6033,3633,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2130,48.5101462850635,38.7822627285183,1881.33323822619,6394,3568,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2131,53.6774668872356,71.2009090328217,3821.88443695036,4233,1724,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2132,36.0394385841267,73.6545688534571,2654.4693106345,4463,2576,9273,9273,9273,9273,9273,9273,TRUE,TRUE
