original_index,cl0_signal,cl1_signal,score,order_index,order_rank,source_loci,cl0_order_rows,cl1_order_rows,cl0_heatmap_rows,cl1_heatmap_rows,order_length,order_matches_cl0,order_matches_cl1
3819,0,5.09124193191528,5.09124193191528,6100,11222,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3820,3.88112870384665,5.9090633327605,5.9090633327605,1345,11054,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3821,1.06205527158011,15.964656829834,15.964656829834,11241,8100,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3822,0.599189400672913,13.4154035329819,13.4154035329819,10547,8927,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3823,2.94047147035599,24.5906606578827,24.5906606578827,9440,5704,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3824,12.0337387144566,61.8584808349609,61.8584808349609,1722,1112,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3825,2.51043478827671,28.4279748433316,28.4279748433316,1854,4793,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3826,0.355075187683106,23.1651268959045,23.1651268959045,5683,6040,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3827,0.260758340954781,37.3314935922623,37.3314935922623,1761,3223,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3828,3.3288300037384,5.0912299156189,5.0912299156189,6786,11257,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3829,8.81848041634811,8.17276829167416,8.17276829167416,568,10464,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3830,17.3099254846573,12.8235561847687,12.8235561847687,208,9079,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3831,0.863031122419569,0,0,961,12357,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3832,9.76080480268446,1.38067625336728,1.38067625336728,12020,12017,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3833,0.750351626364911,25.9569559761735,25.9569559761735,493,5350,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3834,0.808622672972892,27.2906669817473,27.2906669817473,8805,5072,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3835,0,25.2779838657379,25.2779838657379,2717,5534,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3836,13.4854802942276,69.77532274882,69.77532274882,8475,812,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3837,7.01072268594395,100.794917228005,100.794917228005,1508,296,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3838,0.632420185316412,55.5551455799162,55.5551455799162,8259,1459,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3839,0.332882988452911,16.5974266386032,16.5974266386032,11815,7916,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3840,10.4608322536672,40.1857964464726,40.1857964464726,8413,2850,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3841,37.0277154648304,49.0285889053345,49.0285889053345,12056,1923,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3842,0.523058649954419,28.4665265395141,28.4665265395141,4821,4789,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3843,79.5285327516753,258.248135007661,258.248135007661,1903,30,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3844,0,29.3000402641296,29.3000402641296,7165,4610,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3845,14.6468696594238,2.03649446964264,2.03649446964264,11157,11932,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3846,12.2056999206543,17.819299697876,17.819299697876,3701,7556,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3847,25.8095494842529,77.6922714614868,77.6922714614868,7404,586,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3848,3.05142896175385,14.8664038658142,14.8664038658142,10042,8448,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3849,0.0887687969207764,4.3020997428894,4.3020997428894,55,11458,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3850,10.5827204505009,17.6673453957287,17.6673453957287,6022,7612,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3851,2.13045298576355,50.2505013656616,50.2505013656616,9976,1824,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3852,7.55592279207139,44.73013764336,44.73013764336,11168,2300,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3853,24.1787897540677,30.9990536320594,30.9990536320594,9315,4246,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3854,0,27.4672110795975,27.4672110795975,476,5038,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3855,5.92158399832131,36.1805354911502,36.1805354911502,8522,3391,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3856,20.9573366103634,21.9251794968882,21.9251794968882,781,6407,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3857,3.64661115995595,42.3432913856327,42.3432913856327,571,2574,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3858,49.6646610128469,83.9175803085853,83.9175803085853,990,488,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3859,5.7587417469749,3.83453639549545,3.83453639549545,2144,11547,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3860,3.45212109883626,87.3995793660482,87.3995793660482,12139,439,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3861,8.93283152713829,14.888653073992,14.888653073992,11370,8439,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3862,6.1749071293063,36.6717667951212,36.6717667951212,8407,3322,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3863,9.18757884025574,9.03694987297058,9.03694987297058,7803,10231,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3864,6.89126935758089,12.8174102180883,12.8174102180883,10423,9081,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3865,4.94111843877191,34.3914571352453,34.3914571352453,9397,3686,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3866,6.96835205078125,30.1401042175293,30.1401042175293,7158,4433,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3867,31.0520130031213,57.999511495654,57.999511495654,11818,1319,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3868,13.7096859204229,113.373078641991,113.373078641991,10776,202,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3869,5.22972694185914,29.0242033864631,29.0242033864631,5115,4680,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3870,1.34253264689932,39.5646762625469,39.5646762625469,868,2951,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3871,13.6239642702191,26.408664453898,26.408664453898,3154,5261,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3872,0.554804980754852,14.2554623365402,14.2554623365402,4674,8637,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3873,1.59859274403524,22.9321281667483,22.9321281667483,9915,6098,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3874,0,4.0729864358902,4.0729864358902,6838,11502,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3875,0,0,0,5242,12358,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3876,0,0,0,1455,12359,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3877,0,0,0,7098,12360,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3878,8.32736359891437,36.5114293597993,36.5114293597993,5639,3355,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3879,0.48890860373033,28.7918088591419,28.7918088591419,3354,4729,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3880,9.43724030613899,93.3859457206726,93.3859457206726,2943,362,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3881,2.96007926154353,9.92099492571505,9.92099492571505,9386,10016,12821,12821,12821,12821,12821,12821,TRUE,TRUE
