gene_id	gene_name	GSM9304310_mESC_E14_ctrl_A_d4	GSM9304311_mESC_E14_ctrl_B_d4	GSM9396007_MEF_3T3_mock_A_4hpi	GSM9396008_MEF_3T3_mock_B_4hpi	GSM9396009_MEF_3T3_mock_C_4hpi
ENSMUSG00000034190.9	Chmp7	26.782188	29.997845	18.243533	19.07143	20.857991
ENSMUSG00000034192.5	Lsm3	196.198719	203.802802	67.792427	61.185448	56.467679
ENSMUSG00000034194.18	R3hcc1	10.851832	11.851467	10.422835	10.411394	9.55768
ENSMUSG00000034201.13	Gas2l1	6.26104	8.10702	51.067491	53.642956	58.189181
ENSMUSG00000034203.8	Chchd4	37.226867	33.500393	15.065579	13.012171	12.020428
ENSMUSG00000034205.16	Loxl2	7.626767	8.416862	0.045769	0.064858	0.046376
ENSMUSG00000034206.15	Polq	4.387394	5.829354	1.388337	1.625457	1.963607
ENSMUSG00000034209.4	Rasl10a	0.598128	0.943334	0	0.100858	0
ENSMUSG00000034210.14	Efcab14	17.741919	21.216959	46.459944	46.195993	45.783492
ENSMUSG00000034211.14	Mrps17	148.204269	137.605512	87.997614	80.906411	86.221348
ENSMUSG00000034212.14	Ankmy1	0.328751	0.030315	0.327355	0.401467	0.228283
ENSMUSG00000034216.12	Vps18	7.760499	8.905522	33.648703	32.172451	37.00913
ENSMUSG00000034218.16	Atm	13.42219	14.902967	9.685443	6.15238	5.807514
ENSMUSG00000034219.15	Septin14	0.160223	0.278439	0	0.152261	0.119351
ENSMUSG00000034220.7	Gpc1	5.066064	6.975981	169.391201	201.667763	186.693296
ENSMUSG00000034224.14	Slc38a8	0.554524	0.948783	0.060752	0	0
ENSMUSG00000034226.7	Rhov	3.206068	1.151561	0.179892	0.304155	0.357851
ENSMUSG00000034227.7	Foxj1	1.227224	1.628329	0.165571	0.022303	0.207012
ENSMUSG00000034235.17	Usp54	6.621608	8.007632	7.786061	7.563786	7.309975
ENSMUSG00000034239.14	Gm884	0	0.135832	0	0	0
ENSMUSG00000034243.17	Golgb1	15.643068	15.832102	14.145641	22.240277	22.175681
ENSMUSG00000034245.10	Hdac11	4.46088	6.053455	1.663542	2.604279	2.100247
ENSMUSG00000034247.9	Plekhm1	13.395659	12.155965	23.61606	22.329456	29.15867
ENSMUSG00000034248.7	Slc25a37	9.02866	11.523978	84.293344	81.870276	88.898443
ENSMUSG00000034252.14	Senp6	36.391766	42.432694	54.853184	60.938538	57.119596
ENSMUSG00000034254.17	Agpat1	21.953732	24.696721	81.108143	73.155948	72.228068
ENSMUSG00000034255.17	Arhgap27	2.812671	3.566845	3.228351	3.169342	5.228184
ENSMUSG00000034258.4	Flvcr2	2.209337	2.706174	0	0	0
ENSMUSG00000034259.8	Exosc4	21.821453	21.51074	18.488315	18.091006	15.947667
ENSMUSG00000034263.13	Ints14	16.606909	15.039649	15.041607	13.548275	15.438188
ENSMUSG00000034265.8	Zdhhc14	0.789332	0.504597	0.128644	0.107223	0.085282
ENSMUSG00000034266.6	Batf	0.137475	0.623415	0	0	0
ENSMUSG00000034269.12	Setd5	63.412756	76.443471	55.921535	66.607827	66.381586
ENSMUSG00000034271.16	Jdp2	5.993577	4.066094	16.994733	16.329612	16.958878
ENSMUSG00000034274.11	Thoc5	37.604828	29.142527	31.13708	28.413381	25.880091
ENSMUSG00000034275.18	Igsf9b	6.209565	7.907727	0.003341	0.004189	0.005452
ENSMUSG00000034278.3	Dnajc17	18.607531	23.416125	4.674807	5.348416	7.654578
ENSMUSG00000034282.3	Evpl	0.903681	1.323146	0	0	0.015791
ENSMUSG00000034285.15	Nipsnap1	72.383631	70.41412	17.949631	11.809241	10.103569
ENSMUSG00000034290.9	Nek9	22.824342	23.372532	34.00437	37.594275	38.608071
ENSMUSG00000034292.13	Traf3ip1	7.802578	8.500302	9.5126	8.274512	8.413941
ENSMUSG00000034295.10	Fhod3	5.571995	11.056949	0.111425	0.011339	0.836899
ENSMUSG00000034297.14	Med13	11.675883	13.841516	27.836232	31.250596	40.703879
ENSMUSG00000034300.17	Fam53c	17.623594	17.20384	17.091215	17.776583	20.055398
ENSMUSG00000034303.8	Ccdc15	3.169957	5.303643	0.697848	0.696392	0.968859
ENSMUSG00000034308.13	Sdr42e1	1.15719	0.474142	0	0	0
ENSMUSG00000034310.8	Tmem132d	0.345955	1.799151	0	0	0
ENSMUSG00000034311.3	Kif4	15.972606	20.59382	9.119689	11.823849	12.252342
ENSMUSG00000034312.15	Iqsec1	6.283496	11.23374	47.731234	61.860264	56.161614
ENSMUSG00000034317.14	Trim59	85.24695	89.239028	50.655785	52.349723	43.900763
